date,total_downloads,latest_tag,latest_tag_downloads
2026-05-26,213,v0.10.5,56
2026-05-27,214,v0.10.5,57
2026-05-28,214,v0.10.5,57
2026-05-29,214,v0.10.5,57
2026-05-30,215,v0.10.5,57
2026-05-31,215,v0.10.5,57
2026-06-01,215,v0.10.5,57
2026-06-02,215,v0.10.5,57
2026-06-03,219,v0.10.5,61
2026-06-04,220,v0.10.5,61
2026-06-05,220,v0.10.5,61
2026-06-06,220,v0.10.5,61
2026-06-07,220,v0.10.5,61
2026-06-08,221,v0.10.5,62
2026-06-09,222,v0.10.5,63
2026-06-10,223,v0.10.5,64
2026-06-11,223,v0.10.5,64
2026-06-12,223,v0.10.5,64
2026-06-13,223,v0.10.5,64
2026-06-14,224,v0.10.5,65
2026-06-15,224,v0.10.5,65
2026-06-16,227,v0.10.5,68
2026-06-17,228,v0.10.5,69
2026-06-18,229,v0.10.5,70
2026-06-19,229,v0.10.5,70
2026-06-20,232,v0.10.5,73
2026-06-21,232,v0.10.5,73
