date,views,unique_views,clones,unique_clones
2026-05-12,0,0,2,2
2026-05-13,1,1,1,1
2026-05-14,0,0,3,1
2026-05-15,0,0,2,2
2026-05-16,4,1,2,2
2026-05-17,0,0,5,2
2026-05-18,0,0,0,0
2026-05-19,4,4,1,1
2026-05-20,0,0,3,3
2026-05-21,4,1,5,3
2026-05-22,4,1,1,1
2026-05-23,3,2,0,0
2026-05-24,1,1,3,2
2026-05-25,0,0,0,0
2026-05-26,5,3,80,21
2026-05-27,1,1,90,35
2026-05-28,1,1,16,7
2026-05-29,3,1,38,19
2026-05-30,0,0,16,8
2026-05-31,6,2,17,11
2026-06-01,0,0,11,7
2026-06-02,0,0,13,8
2026-06-03,1,1,11,6
2026-06-04,0,0,20,9
2026-06-05,0,0,20,10
2026-06-06,0,0,10,6
2026-06-07,0,0,13,6
2026-06-08,2,2,15,9
2026-06-09,0,0,18,8
2026-06-10,0,0,15,9
2026-06-11,0,0,15,8
2026-06-12,3,2,11,7
2026-06-13,0,0,16,8
2026-06-14,0,0,33,15
2026-06-15,0,0,9,5
2026-06-16,2,1,19,8
2026-06-17,2,2,8,4
2026-06-18,2,2,27,9
2026-06-19,2,1,7,5
2026-06-20,3,1,13,7
2026-06-21,4,1,271,56
2026-06-22,5,2,12,7
2026-06-23,0,0,12,8
2026-06-24,5,1,13,9
2026-06-25,3,2,18,10
2026-06-26,0,0,13,8
2026-06-27,3,1,11,6
2026-06-28,1,1,6,5
2026-06-29,1,1,10,5
2026-06-30,5,3,14,7
2026-07-01,3,2,6,5
2026-07-02,7,3,17,8
2026-07-03,1,1,13,8
2026-07-04,1,1,12,7
2026-07-05,2,2,11,10
2026-07-06,2,2,10,6
2026-07-07,5,2,21,9
2026-07-08,1,1,3,2
2026-07-09,2,1,14,6
2026-07-10,1,1,12,7
2026-07-11,3,1,2,1
2026-07-12,2,1,4,3
2026-07-13,0,0,3,2
2026-07-14,5,2,16,10
2026-07-15,0,0,8,4
2026-07-16,2,2,13,6
2026-07-17,3,1,4,3
